"Origin","Dest","2010","2011","2012","2013","2014","five_year_avg","state_rank","growth_rate","share","lq"
255,73,274036,601745,1481742,5491013,780896,1725886.4,110,23.3,0,0.02
261,73,6405445,3590906,1699170,7175764,31670640,10108385,47,37.66,0.2,0.98
268,195,785095,637758,214771,135622,301305,414910.2,184,-17.43,0,3.46
242,195,0,0,0,2529,2883,1082.4,165,NA,0,0.18
248,195,263249,377865,31475,1745942,17234,487153,220,-42.03,0,0.11
244,195,15879,0,12520,0,4550,6589.8,199,-22.12,0,0.23
270,195,227337,260391,544610,449149,379971,372291.6,184,10.82,0,1.81
282,195,197342,114730,96687,709505,59219,235496.6,212,-21.4,0,0.08
273,195,469131,159594,2710,3383,21087,131181,203,-46.23,0,0.23
283,195,4000,2634,12636,8800,3150,6244,198,-4.67,0,0.1
289,195,70378,55927,0,3421,53348,36614.8,184,-5.39,0,1.17
264,195,0,9520,0,6444,5292,4251.2,131,NA,0,1.84
286,195,3562,0,11530,10941,4904,6187.4,215,6.6,0,0.11
271,195,5700,15655,17155,24270,37422,20040.4,196,45.7,0,0.52
252,195,0,0,0,14114,2922,3407.2,199,NA,0,0.04
245,195,10465,17287,65416,41359,20260,30957.4,182,14.12,0,0.49
267,195,13336,0,0,0,2635,3194.2,176,-27.7,0,0.25
263,195,11710,0,3494,0,4910,4022.8,194,-15.96,0,0.18
261,195,230301,162991,210478,177252,154424,187089.2,171,-7.68,0,3.33
259,195,623230,160905,236191,258882,289097,313661,152,-14.24,0,4.16
276,195,2050821,69239,17237,563363,831886,706509.2,161,-16.51,0,10.1
243,195,88516,190447,83557,798516,1489721,530151.4,180,75.88,0,3.26
287,195,0,16197,17252,9121,23295,13173,201,NA,0,0.1
260,195,0,392196,435749,20325,7407,171135.4,201,NA,0,0.08
239,195,139136,145140,0,13717,6333,60865.2,193,-46.09,0,0.14
258,195,20196,7740,18790,15453,33598,19155.4,192,10.72,0,1.11
283,50,953855,4385819,3149400,1227624,5145147,2972369,58,40.08,0.05,0.3
262,50,50032,38794,3769003,230138,783349,974263.2,100,73.36,0.01,0.05
243,50,20464304,16243333,20168233,27360353,26659053,22179055.2,102,5.43,0.02,0.11
260,50,16833043,22099281,39074578,10642950,15402322,20810434.8,67,-1.76,0.05,0.32
242,50,41721562,45717453,37079185,22899583,11482460,31780048.6,56,-22.74,0.21,1.34
270,50,18881694,14106922,30204113,14334950,17518712,19009278.2,106,-1.49,0.02,0.16
256,50,69708736,74233356,51837250,57023029,108530447,72266563.6,59,9.26,0.18,1.12
254,50,10963028,1120410,1659211,1307964,2502550,3510632.6,93,-25.58,0.03,0.17
266,50,85607,838693,122166,274610,483793,360973.8,101,41.39,0.01,0.05
253,50,2741042,4300514,1261859,1494142,725356,2104582.6,107,-23.35,0.01,0.04
281,50,8446775,26018937,24522901,25791553,36105223,24177077.8,54,33.71,0.15,0.97
287,50,10995982,303230143,3356093,3572356,188945988,102020112.4,48,76.61,0.23,1.48
258,50,16917945,15229334,8223631,11317000,12179106,12773403.2,67,-6.36,0.12,0.75
239,50,17275683,20886679,54524651,33998631,30453059,31427740.6,48,12.01,0.2,1.28
269,50,13769,6444,24338,16000,825284,177167,61,126.75,0.02,0.15
250,50,13385,51697,88226,48764,49247,50263.8,122,29.76,0,0.01
278,50,296801,274304,87163,207584,38078,180786,132,-33.68,0,0.01
272,50,2337868,5734488,3963455,8229013,9450242,5943013.2,28,32.23,0.83,5.25
271,50,16286098,9306803,7746001,5209936,5666783,8843124.2,97,-19.03,0.02,0.15
257,50,1777754,48320,1606681,144250,178316,751064.2,103,-36.87,0.01,0.09
274,50,2120505,686113,2850804,4670462,5547461,3175069,66,21.21,0.12,0.79
247,50,37310,184540,105509,7871,100320,87110,100,21.87,0.01,0.07
244,50,2132616,1417603,1217555,1558740,5560746,2377452,65,21.13,0.08,0.53
261,50,3692229,9720800,7916955,8353187,18451182,9626870.6,55,37.96,0.12,0.74
264,50,0,0,9894,12787,970250,198586.2,52,NA,0.1,0.63
245,50,9345197,6913756,4000709,2293860,2110327,4932769.8,90,-25.74,0.02,0.1
259,50,5032766,2628088,1804073,7746584,3554889,4153280,88,-6.72,0.02,0.1
252,50,2825124,3566783,8903519,2661327,4254022,4442155,84,8.53,0.02,0.12
265,50,1533864,3789483,3040808,3169434,2545795,2815876.8,75,10.66,0.04,0.28
280,50,148025,5202,123649,293515,135591,141196.4,93,-1.74,0.02,0.1
251,50,6301059,8390545,19699222,7246058,27439818,13815340.4,75,34.21,0.06,0.38
268,50,5200265,5252414,17714373,18382851,8951074,11100195.4,105,11.47,0.03,0.19
276,50,7883650,62112054,29570261,10139459,9086485,23758381.8,93,2.88,0.03,0.21
255,50,159332,1213137,1090107,1866733,1780506,1221963,97,62.05,0.01,0.06
284,50,39947,221704,83699,0,27567,74583.4,124,-7.15,0,0.01
286,50,10977906,12705913,4699729,11298729,27069588,13350373,60,19.78,0.17,1.1
241,50,2365546,3040088,4906716,3546825,2671083,3306051.6,78,2.46,0.01,0.09
282,50,810388954,644596186,853726683,882036062,1193166254,876782827.8,36,8.04,0.46,2.95
248,50,73089659,39512424,97847274,55488749,59374523,65062525.8,81,-4.07,0.11,0.69
112,50,55671108,85188695,99592336,130551422,128970929,99994898,52,18.3,0.39,2.49
288,50,444116,155168,442337,210032,51815,260693.6,110,-34.93,0,0.01
279,50,8502343,6318787,3114117,9629460,24407476,10394436.6,67,23.48,0.09,0.6
267,50,28679,19573,245626,220510,50519,112981.4,137,11.99,0,0.01
246,50,329000,200954,0,7196,220366,151503.2,111,-7.7,0,0.03
275,50,365764,335464,1138482,3689617,468288,1199523,122,5.07,0,0.02
273,50,2762191,3711224,8108096,3925760,7176484,5136751,87,21.04,0.02,0.15
263,50,904463,1691465,1089163,1989976,1008566,1336726.6,115,2.2,0.01,0.07
289,50,5178259,18740272,4157602,25637116,4899679,11722585.6,93,-1.1,0.03,0.2
248,161,20270126,16943293,13623964,14643075,21102722,17316636,100,0.81,0.04,9.07
281,161,222080,527869,137423,336486,274830,299737.6,164,4.35,0,0.27
286,161,27430,60389,61340,151009,63754,72784.4,194,18.37,0,0.1
282,161,175746,184445,434883,407298,5395328,1319540,153,98.35,0,0.49
259,161,173646,173132,127503,179726,122287,155258.8,171,-6.77,0,0.12
241,161,4999,2855,28930,48473,29129,22877.2,184,42.26,0,0.04
258,161,0,77972,37596,3247,19544,27671.8,198,NA,0,0.04
244,161,5040,25634,11678,54116,180789,55451.4,149,104.62,0,0.63
266,161,6382,10000,0,0,45286,12333.6,151,47.98,0,0.16
254,161,19726,57641,58858,23149,18967,35668.2,184,-0.78,0,0.05
269,161,0,0,18431,0,7290,5144.2,144,NA,0,0.05
283,161,0,3395,26246,0,57549,17438,168,NA,0,0.12
277,161,5086311,3449886,3413461,3291272,5030145,4054215,62,-0.22,0.03,6.13
242,161,0,0,0,0,26403,5280.6,154,NA,0,0.11
256,161,165018,142862,130395,109370,193691,148267.2,168,3.26,0,0.07
288,161,0,0,93976,25087,15716,26955.8,128,NA,0,0.07
274,161,28117,144792,127930,8452,99728,81803.8,138,28.82,0,0.52
261,161,41639,71651,104674,143269,23473,76941.2,196,-10.83,0,0.03
239,161,277295,6795,90088,215508,126497,143236.6,159,-14.53,0,0.2
284,161,6743,0,0,6851,291022,60923.2,74,112.33,0.01,3.35
275,161,0,0,0,0,80000,16000,159,NA,0,0.11
271,161,62835,269820,232159,68255,465289,219671.6,165,49.25,0,0.44
270,161,508384,566729,1606238,2891834,969901,1308617.2,169,13.79,0,0.32
245,161,84791,43212,44566,167896,194198,106932.6,143,18.03,0,0.32
267,161,246982,12500,3417,2959,96988,72569.2,121,-17.05,0,0.62
279,161,138933,183713,128584,212836,42990,141411.2,181,-20.91,0,0.04
273,161,108591,266717,136648,115897,292854,184141.4,172,21.95,0,0.22
260,161,89270,69095,94232,137725,161637,110391.8,169,12.61,0,0.13
287,161,42551,623875,76228,39491,35817,163592.4,197,-3.39,0,0.01
280,161,0,0,0,6402,10993,3479,128,NA,0,0.29
262,161,0,49368,27225,21750,25120,24692.6,164,NA,0,0.06
251,161,123014,173963,104834,310941,559185,254387.4,174,35.37,0,0.28
278,161,0,6496,19500,0,11250,7449.2,152,NA,0,0.14
112,161,602257,918822,893385,1038444,1169206,924422.8,173,14.19,0,0.83
276,161,245300,245609,447428,253041,945800,427435.6,156,30.98,0,0.79
252,161,59106,56333,47407,9559,1327438,299968.6,112,86.33,0.01,1.34
289,161,47819,62885,158720,307605,25229,120451.6,192,-12,0,0.04
268,161,599256,621301,405304,502006,537774,533128.2,172,-2.14,0,0.42
257,161,12000,0,10406,26240,12580,12245.2,163,0.95,0,0.24
255,161,39013,108382,25809,39816,225013,87606.6,148,41.97,0,0.26
247,161,0,21828,80360,47646,6225,31211.8,169,NA,0,0.16
285,161,196264,225209,110100,98668,12437424,2613533,19,129.29,0.88,205.29
243,161,1204323,511720,555684,765579,1765251,960511.4,175,7.95,0,0.27
250,161,2730,0,0,0,8603,2266.6,153,25.8,0,0.05
253,161,0,83464,2519,37873,101105,44992.2,151,NA,0,0.23
263,161,13225,93005,55428,136947,51510,70023,172,31.25,0,0.13
239,92,3218489,4108310,3387028,2805942,3394229,3382799.6,90,1.07,0.02,1.5
271,92,760442,615780,448650,444066,995887,652965,152,5.54,0,0.27
289,92,472416,350468,297076,500582,535105,431129.4,148,2.52,0,0.23
266,92,248050,171251,1142915,494836,628703,537151,96,20.44,0.01,0.65
270,92,3505912,5081400,6307129,6836908,5721669,5490603.6,133,10.29,0.01,0.54
257,92,15065,27224,49792,82920,6100,36220.2,169,-16.54,0,0.03
263,92,253065,306806,154310,244886,141794,220172.2,152,-10.94,0,0.1
259,92,3915286,597679,305859,389706,723258,1186357.6,131,-28.66,0,0.2
281,92,886188,734836,1186107,777274,961372,909155.4,135,1.64,0,0.27
267,92,29077,7657,8113,5000,7410,11451.4,172,-23.92,0,0.01
245,92,584745,664351,1113517,1655555,787470,961127.6,111,6.13,0.01,0.38
288,92,2672,4450,6190,2917,10143,5274.4,133,30.58,0,0.01
255,92,224810,343930,350399,359401,796829,415073.8,109,28.8,0,0.27
241,92,323160,216504,182613,186907,617425,305321.8,127,13.82,0,0.22
284,92,2700,8215,14643,19806,24241,13921,128,55.11,0,0.08
253,92,181003,57520,532207,12815,62183,169145.6,163,-19.24,0,0.04
252,92,668737,191207,2877576,342810,523651,920796.2,132,-4.77,0,0.15
277,92,22036083,7407699,8191678,12985904,43461420,18816556.8,29,14.55,0.23,15.13
275,92,51550,43720,27114,2737,40641,33152.4,173,-4.64,0,0.02
254,92,587594,345735,511803,423765,365418,446863,137,-9.06,0,0.26
269,92,563951,34307,10583,0,180834,157935,84,-20.35,0.01,0.34
246,92,9374,8764,23472,0,8976,10117.2,154,-0.86,0,0.01
244,92,217204,75756,80698,150667,173228,139510.6,151,-4.42,0,0.17
260,92,308704,395443,431312,523066,734546,478614.2,139,18.93,0,0.16
268,92,1210414,9838363,7561099,1598176,1522113,4346033,146,4.69,0.01,0.34
112,92,5165813,4943095,4941458,4645451,5754027,5089968.8,126,2.18,0.02,1.17
278,92,48113,1846721,1856060,3091461,437237,1455918.4,86,55.49,0.02,1.55
251,92,2137920,1401894,2408917,1405216,2758184,2022426.2,135,5.23,0.01,0.4
283,92,326040,93210,61963,76091,215237,154508.2,143,-7.97,0,0.13
282,92,4829759,7945437,22613762,2237047,20320016,11589204.2,129,33.29,0.01,0.53
287,92,364501,391342,1332109,315182,216949,524016.6,164,-9.86,0,0.02
273,92,849004,597075,860740,1179501,961383,889540.6,139,2.52,0,0.2
248,92,68793430,68248161,69067752,74920597,81971634,72600314.8,70,3.57,0.15,10.07
262,92,249178,191931,124151,146374,176506,177628,130,-6.66,0,0.12
243,92,2923031,2841607,3984223,3133401,2779154,3132283.2,164,-1,0,0.12
256,92,9986188,11021781,27009478,99088,3524656,10328238.2,124,-18.8,0.01,0.38
265,92,7225,4500,147206,204288,219751,116594,123,97.98,0,0.26
274,92,118531,126930,130051,97904,213153,137313.8,127,12.45,0,0.32
258,92,221373,728602,754432,703664,1293739,740362,128,42.35,0.01,0.84
280,92,0,0,11666,0,12566,4846.4,125,NA,0,0.1
249,92,0,0,0,0,3236,647.2,97,NA,0,0.02
286,92,349959,227484,384150,158306,373942,298768.2,170,1.33,0,0.16
242,92,226736,94900,207403,319634,279346,225603.8,115,4.26,0.01,0.34
261,92,241240,79530,116690,1456900,911444,561160.8,122,30.45,0.01,0.39
250,92,3259,29270,3709,9139,3861,9847.6,162,3.45,0,0.01
247,92,20824,13468,20249,2685,9974,13440,167,-13.69,0,0.07
279,92,440971,540137,780835,989492,639074,678101.8,142,7.7,0,0.16
285,92,63499,562916,174158,115008,4881354,1159387,27,138.32,0.34,23.03
276,92,664949,343142,462237,973981,915759,672013.6,157,6.61,0,0.22
253,30,75687752,93517923,67427760,71558964,82743191,78187118,22,1.8,0.79,0.96
242,30,34317629,22839654,48988194,24932431,28557282,31927038,45,-3.61,0.53,0.64
288,30,29437648,26667845,61903427,57422678,31546005,41395520.6,29,1.39,0.57,0.7
285,30,8748,0,17689,6192862,15740805,4392020.8,17,347.74,1.11,1.35
265,30,55820700,67398025,72705779,56346039,43213485,59096805.6,20,-4.99,0.76,0.92
271,30,175749335,172145624,161260259,180596898,148413312,167633085.6,34,-3.32,0.6,0.73
240,30,1590403,184543,70376,35552,219182,420011.2,61,-32.72,0,0.01
283,30,13836230,14766128,11317508,10476399,8982585,11875770,51,-8.28,0.08,0.1
250,30,7783339,8156334,4197640,3281384,2313104,5146360.2,52,-21.55,0.06,0.08
287,30,47521516,66976687,224368455,88839058,443215038,174184150.8,35,56.29,0.55,0.66
268,30,144688128,322726078,528611742,159525789,373267746,305763896.6,22,20.87,1.26,1.53
279,30,196251322,276117953,230879452,316508345,185390513,241029517,25,-1.13,0.71,0.87
264,30,2392140,1143342,1532831,1511751,1890018,1694016.4,42,-4.6,0.19,0.23
254,30,52367831,54161611,76463982,73494496,39218196,59141223.2,41,-5.62,0.41,0.5
