Code,Name,Lat,Lon
272,North Dakota,47.5514926,-101.0020119
273,Ohio,40.4172871,-82.907123
274,Oklahoma,35.4675602,-97.5164276
275,Oregon,43.8041334,-120.5542012
276,Pennsylvania,41.2033216,-77.1945247
277,Puerto Rico,18.220833,-66.590149
278,Rhode Island,41.5800945,-71.4774291
279,South Carolina,33.836081,-81.1637245
280,South Dakota,43.9695148,-99.9018131
281,Tennessee,35.5174913,-86.5804473
282,Texas,31.9685988,-99.9018131
283,Utah,39.3209801,-111.0937311
284,Vermont,44.5588028,-72.5778415
285,Virgin Islands,18.335765,-64.896335
286,Virginia,37.4315734,-78.6568942
287,Washington,47.75107,-120.7401
288,West Virginia,38.5976262,-80.4549026
289,Wisconsin,43.7844397,-88.7878678
290,Wyoming,43.0759678,-107.2902839
